prenom,genre,signification,origine
ESMÉ,m,"Means ""esteemed"" or ""loved"" in Old French. It was first recorded in Scotland, being borne by the first Duke of Lennox in the 16th century.","[English, Dutch]"
ESMERALDA,f,"Means ""emerald"" in Spanish and Portuguese. Victor Hugo used this name in his novel 'The Hunchback of Notre Dame' (1831), in which Esmeralda is the Gypsy girl who is loved by Quasimodo. It has occasionally been used in the English-speaking world since that time.","[Spanish, Portuguese, English, Literature]"
ESMUND,m,Variant of ESMOND.,[English (Rare)]
ESPERANTA,f,"Means ""hoping"" in Esperanto.",[Esperanto]
ESPIRIDIÓN,m,form of SPYRIDON.,[Spanish]
ESSA,m,ESSA   m   ArabicVariant transcription of ISA  (1).,[Arabic]
ESSI,f,ESSI   f   FinnishFinnish diminutive of ESTHER.,[Finnish]
ESTA,f,ESTA   f   EnglishDiminutive of ESTHER.,[English]
ESTEBAN,m,form of STEPHEN.,[Spanish]
ESTEE,f,"ESTEE   f   JewishDiminutive of ESTHER. A famous bearer was the American businesswoman Estée Lauder (1908-2004), founder of the cosmetics company that bears her name. Her birth name was Josephine Esther Mentzer. Apparently she added the accent to her name Estee in order to make it appear French.",[Jewish]
ESTEFANÍA,f,feminine form of STEPHEN.,[Spanish]
ESTELLA,f,"form of ESTELLE. This was the name of the heroine, Estella Havisham, in Charles Dickens' novel 'Great Expectations' (1860).",[English]
'ESTER,f,form of ESTHER.,[Biblical Hebrew]
ESTERA,f,form of ESTHER.,"[Polish, Slovak, Lithuanian]"
ESTEVÃO,m,form of STEPHEN.,[Portuguese]
ESTEVE,m,form of STEPHEN.,[Catalan]
ESTHER,f,"means ""star"" in Persian. Alternatively it could be a derivative of the name of the Near Eastern goddess ISHTAR. The Book of Esther in the Old Testament tells the story of Queen Esther, the Jewish wife of the king of Persia. The king's advisor Haman persuaded the king to exterminate all the Jews in the realm. Warned of this plot by her cousin Mordecai, Esther revealed her Jewish ancestry and convinced the king to execute Haman instead. Her original Hebrew name was Hadassah.... [more]","[English, French, Spanish, Dutch, German, Danish, Norwegian, Swedish, Jewish, Biblical, Biblical Latin, Biblical Greek]"
ESTI,f,"Means ""sweet, honey"" in Basque.",[Basque]
ESTIÑNE,f,Variant of ESTI.,[Basque]
ESYLLT,f,form of ISOLDE.,[Welsh]
ESZTI,f,ESZTI   f   HungarianDiminutive of ESZTER.,[Hungarian]
ETEL,f,Short form of ETELKA.,[Hungarian (Rare)]
ETELKA,f,Feminine form of ETELE created by the Hungarian writer András Dugonics for the main character in his novel 'Etelka' (1788).,[Hungarian]
ETERI,f,"Means ""ether, air"" in Georgian. This name features in the Georgian opera 'Abesalom and Eteri' (1918).",[Georgian]
ETHEL,f,"Short form of names beginning with the Old English element æðel meaning ""noble"". It was coined in the 19th century, when many Old English names were revived. It was popularized by the novels 'The Newcomes' (1855) by William Makepeace Thackeray and 'The Daisy Chain' (1856) by C. M. Yonge. A famous bearer was American actress and singer Ethel Merman (1908-1984).",[English]
ETHELDRED,f,form of ÆÐELÞRYÐ.,[Medieval English]
ETHELINDA,f,"form of the Old English name Æðelind, derived from the elements æðel ""noble"" and lindi ""snake"". The name was very rare after the Norman conquest, but it was revived in the early 19th century.",[English (Archaic)]
ETHELYN,f,ETHELYN   f   EnglishDiminutive of ETHEL.,[English]
ETHNE,f,Variant of EITHNE.,[Irish]
ÉTIENNETTE,f,feminine form of STEPHEN.,[French (Rare)]
ETSUKO,f,"From Japanese 悦 (etsu) meaning ""joy, pleased"" and 子 (ko) meaning ""child"", as well as other kanji combinations.",[Japanese]
ETTIE,f,ETTIE   f   EnglishDiminutive of HENRIETTA and other names ending with etta or ette.,[English]
ETZEL,m,Form of ATTILA used in the medieval German saga the 'Nibelungenlied'. In the story Etzel is a fictional version of Attila the Hun.,[Germanic Mythology]
EUADNE,f,form of EVADNE.,[Greek Mythology]
EUANDROS,m,form of EVANDER  (1).,[Greek Mythology]
EUARISTOS,m,form of EVARISTUS.,[Ancient Greek]
EUDES,m,form of Audo (see OTTO). This was the name of an 8th-century French saint. It was also borne by a 9th-century French king.,[Medieval French]
EUDOKIA,f,form of EUDOCIA.,[Ancient Greek]
EUDOXIA,f,"Means ""good repute, good judgement"" from Greek ευδοξος (eudoxos), itself derived from ευ (eu) ""good"" and δοξα (doxa) ""notion, reputation, honour, glory"".",[Ancient Greek]
EUFEMIA,f,form of EUPHEMIA.,"[Italian, Spanish]"
EUGEN,m,Form of Eugenius (see EUGENE).,"[German, Romanian, Czech, Slovak, Croatian]"
EUGENE,m,"form of Eugenius, the Latin form of the Greek name Ευγενιος (Eugenios) which was derived from the Greek word ευγενης (eugenes) meaning ""well born"". It is composed of the elements ευ (eu) ""good"" and γενης (genes) ""born"". This was the name of several saints and four popes.... [more]",[English]
EUGÊNIA,f,form of EUGENIA.,[Portuguese]
EUGÉNIE,f,form of EUGENIA. This was the name of the wife of Napoleon III.,[French]
EUGÊNIO,m,form of Eugenius (see EUGENE).,[Portuguese]
EUGENIOS,m,form of EUGENE.,[Ancient Greek]
EUGENIUSZ,m,form of Eugenius (see EUGENE).,[Polish]
EUKLEIDES,m,form of EUCLID.,[Ancient Greek]
EULÁLIA,f,form of EULALIA.,"[Portuguese, Hungarian, Slovak]"
EULALIA,f,"Derived from Greek ευλαλος (eulalos) meaning ""sweetly-speaking"", itself from ευ (eu) ""good"" and λαλεω (laleo) ""to talk"". This was the name of an early 4th-century saint and martyr from Merida in Spain. She is a patron saint of Barcelona.","[Spanish, Italian, English, Ancient Greek]"
EUMELIA,f,"Derived from Greek ευμελεια (eumeleia) meaning ""melody"".",[Ancient Greek]
EUNICE,f,"form of the Greek name Ευνικη (Eunike) which meant ""good victory"" from ευ (eu) ""good"" and νικη (nike) ""victory"". The New Testament mentions her as the mother of Timothy. As an English name, it was first used after the Protestant Reformation.","[Biblical, English, Biblical Latin]"
EUNIKE,f,form of EUNICE.,"[Biblical Greek, Ancient Greek]"
EUN-JI,f,"From Sino-Korean 恩 (eun) meaning ""kindness, mercy, charity"" combined with 智 (ji) meaning ""wisdom, intellect"" or 地 (ji) meaning ""earth, soil, ground"". Other hanja character combinations are possible.",[Korean]
EUNOMIA,f,"Means ""good order"" in Greek, ultimately from ευ (eu) ""good"" and νομος (nomos) ""law, custom"". Eunomia was a Greek goddess, one of the ‘Ωραι (Horai), presiding over law.",[Greek Mythology]
EUN-YOUNG,f,EUN-YOUNG   f   KoreanVariant transcription of EUN-YEONG.,[Korean]
EUPHEMIOS,m,Masculine form of EUPHEMIA.,[Ancient Greek]
EUPHRASIA,f,"Means ""good cheer"" in Greek.",[Ancient Greek]
EUPHROSYNE,f,"Means ""mirth, merriment"" in Greek. She was one of the three Graces or Χαριτες (Charites) in Greek mythology.",[Greek Mythology]
EURIA,f,"Means ""rain"" in Basque.",[Basque]
EURIPIDES,m,"Derived from Greek Ευριπος (Euripos), referring to the strait between Euboea and Boeotia, combined with the patronymic suffix ιδης (ides). This was the name of a 5th-century BC Greek tragic poet.",[Ancient Greek]
EUROPE,f,form of EUROPA.,[Greek Mythology]
EURYDICE,f,"From the Greek Ευρυδικη (Eurydike) which meant ""wide justice"", derived from ευρυς (eurys) ""wide"" and δικη (dike) ""justice"". In Greek myth she was the wife of Orpheus. Her husband tried to rescue her from Hades, but he failed when he disobeyed the condition that he not look back upon her on their way out.",[Greek Mythology (Latinized)]
EUSÉBIO,m,form of EUSEBIUS.,[Portuguese]
EUSEBIO,m,form of EUSEBIUS.,"[Spanish, Italian]"
EUSEBIUS,m,form of EUSEBIOS. This was the name of a 4th-century historian of the Christian church.,[Ancient Greek (Latinized)]
EUSTACHE,m,form of Eustachius or Eustathius (see EUSTACE).,[French]
EUSTACHIUS,m,from the Greek name EUSTACHYS or from the same source. This (or Eustathius) is the Latin name of Saint Eustace.,[Late Roman]
EUSTACIA,f,Feminine form of EUSTACE.,[English (Rare)]
EUSTAQUIO,m,form of Eustachius (see EUSTACE).,[Spanish]
EUSTATHIUS,m,"form of Greek Ευσταθιος (Eustathios), derived from the Greek word ευσταθης (eustathes) meaning ""well-built, stable"". It is ultimately from ευ (eu) ""good"" and ‘ιστημι (histemi) ""to stand, to set up"". This was the name of a few early saints, including the 2nd-century martyr also known as Eustachius (see Eustace).",[Ancient Greek (Latinized)]
EUSTORGIOS,m,form of EUSTORGIO.,[Ancient Greek]
EUTERPE,f,"Means ""delight"" in Greek, ultimately from ευ (eu) ""good"" and τερπω (terpo) ""to satisfy, to cheer"". In Greek mythology she was one of the nine Muses, the muse of music and joy. She was said to have invented the double flute.",[Greek Mythology]
EUTHYMIA,f,Feminine form of EUTHYMIUS.,[Ancient Greek]
EUTHYMIUS,m,"form of the Greek name Ευθυμιος (Euthymios) which meant ""in good spirits"", derived from the word ευθυμος (euthymos), which was composed of the elements ευ (eu) ""good"" and θυμος (thymos) ""soul, spirit"". This was the name of several early saints.",[Ancient Greek (Latinized)]
EUTIMIO,m,form of EUTHYMIUS.,"[Spanish, Italian]"
EUTROPIO,m,form of EUTROPIUS.,[Spanish]
EUTROPIUS,m,"form of the Greek name Ευτροπιος (Eutropios), which was derived from the word ευτροπος (eutropos) ""versatile"", formed of the elements ευ (eu) ""good"" and τροπος (tropos) ""direction, manner, fashion"".",[Ancient Greek (Latinized)]
EUTYCHIOS,m,form of EUTYCHIUS.,[Ancient Greek]
EUTYCHOS,m,form of EUTYCHUS.,"[Ancient Greek, Biblical Greek]"
ÉVA,f,form of EVE.,[Hungarian]
EVADNE,f,"From Greek Ευαδνη (Euadne), which is of unknown meaning, though the first element is derived from Greek ευ (eu) ""good"". In Greek legend Evadne was the wife of Capaneus. After Capaneus was killed by a lightning bolt sent from Zeus she committed suicide by throwing herself onto his burning body.",[Greek Mythology (Latinized)]
EVALYN,f,Variant of EVELYN.,[English]
EVANDER  (1), (1),"Variant of Evandrus, the Latin form of the Greek name Ευανδρος (Euandros), derived from Greek ευ (eu) meaning ""good"" and ανηρ (aner) meaning ""man"" (genitive ανδρος). In Roman mythology Evander was an Arcadian hero of the Trojan War who founded the city of Pallantium near the spot where Rome was later built.","[Greek Mythology (Latinized), Roman Mythology]"
EVANDRUS,m,variant of EVANDER  (1).,[Roman Mythology]
EVANGELINA,f,form of EVANGELINE.,"[Spanish, English]"
EVANGELIYA,f,feminine form of EVANGELOS.,[Bulgarian]
ÉVARISTE,m,form of EVARISTUS.,[French]
EVARISTUS,m,"form of the Greek name Ευαριστος (Euaristos) meaning ""well pleasing"" from the Greek word ευαρεστος (euarestos), derived from ευ (eu) ""good, well"" and αρεστος (arestos) ""pleasing"". This was the name of the fifth pope, supposedly martyred under emperor Hadrian.",[Ancient Greek (Latinized)]
EVDOKIJA,f,form of EUDOCIA.,[Macedonian]
ÈVE,f,form of EVE.,[French]
EVELEEN,f,variant of EVELYN.,[English (Rare)]
EVELIEN,f,form of EVELINA.,[Dutch]
EVELIN,f,form of EVELINA.,"[German, Estonian, Hungarian]"
EVELINE,f,Variant of EVELINA.,"[English, French, Dutch]"
ÉVELYNE,f,form of EVELINA.,[French]
EVERARD,m,"Means ""brave boar"", derived from the Germanic elements ebur ""wild boar"" and hard ""brave, hardy"". The Normans introduced it to England, where it joined the Old English cognate Eoforheard. It has only been rarely used since the Middle Ages. Modern use of the name may be inspired by the surname Everard, itself derived from the medieval name.",[English (Rare)]
EVERETTE,m,Variant of EVERETT.,[English]
EVERITT,m,Variant of EVERETT.,[English (Rare)]
EVETTE,f,Variant of YVETTE.,[English]
EVGENIA,f,form of EUGENIA. It is also a variant transcription of Russian YEVGENIYA and Bulgarian EVGENIYA.,"[Greek, Russian, Bulgarian]"
EVGENIJA,f,form of EUGENIA.,[Macedonian]
EVGENIYA,f,form of EUGENIA and a variant Russian transcription of YEVGENIYA.,"[Bulgarian, Russian]"
EVI,f,form of EVE.,[Greek]
ÉVIKE,f,ÉVIKE   f   HungarianHungarian diminutive of EVE.,[Hungarian]
EVONNE,f,Variant of YVONNE.,[English]
ÉVRARD,m,form of EVERARD.,[French]
EVRIDIKI,f,form of EURYDICE.,[Greek]
EVRON,m,form of EPHRAIM.,[Yiddish]
EVŽEN,m,form of EUGENE.,[Czech]
EWALD,m,"From a Germanic name which was composed of the elements ewa ""law, custom"" and wald ""rule"".","[German, Dutch, Ancient Germanic]"
EWART,m,"From an English and Scottish surname which was either based on a Norman form of EDWARD, or else derived from a place name of unknown meaning.",[English]
EWEN,m,Variant of EWAN.,[Scottish]
EWOUT,m,form of EWALD.,[Dutch]
EYDÍS,f,"Derived from the Old Norse elements ey ""good fortune"" or ""island"" and dís ""goddess"".","[Ancient Scandinavian, Icelandic]"
EYSTEINN,m,"Derived from the Old Norse elements ey ""island"" or ""good fortune"" and steinn ""stone"".","[Ancient Scandinavian, Icelandic]"
EYÜP,m,form of JOB.,[Turkish]
EYVINDUR,m,form of Eyvindr (see ØYVIND).,[Icelandic]
EZECHIAS,m,Form of HEZEKIAH used in the Latin Old Testament.,[Biblical Latin]
EZEKIAS,m,Form of HEZEKIAH used in the Greek Old Testament.,[Biblical Greek]
EZEQUIEL,m,form of EZEKIEL.,"[Spanish, Portuguese]"
EZGİ,f,"Means ""melody"" in Turkish.",[Turkish]
EZIO,m,form of AETIUS.,[Italian]
EZRA,m,"Means ""help"" in Hebrew. Ezra is a prophet of the Old Testament and the author of the Book of Ezra. It has been used as a given name in the English-speaking world since the Protestant Reformation. The American poet Ezra Pound (1885-1972) was a famous bearer.","[Biblical, English, Hebrew]"
EZTEBE,m,form of STEPHEN.,[Basque]
FÁBIA,f,feminine form of FABIUS.,[Portuguese]
FÁBIÁN,m,form of Fabianus (see FABIAN).,[Hungarian]
FABIAN,m,"From the Roman cognomen Fabianus, which was derived from FABIUS. Saint Fabian was a 3rd-century pope.","[German, Dutch, Polish, History]"
FABIANO,m,form of Fabianus (see FABIAN).,"[Italian, Portuguese]"
FABIEN,m,form of Fabianus (see FABIAN).,[French]
FABIJAN,m,form of Fabianus (see FABIAN).,"[Croatian, Slovene]"
FABIO,m,form of FABIUS.,"[Italian, Spanish]"
FABIUS,m,"derived from Latin faba ""bean"". Quintus Fabius Maximus was the Roman general who used delaying tactics to halt the invasion of Hannibal in the 3rd century BC.",[Ancient Roman]
FABRICE,m,"form of the Roman family name Fabricius, which was derived from Latin faber ""craftsman"". Gaius Fabricius Luscinus was a 3rd-century BC Roman general and statesman.",[French]
FABRICIO,m,form of Fabricius (see FABRICE).,"[Spanish, Portuguese]"
FABRIZIA,f,feminine form of Fabricius (see FABRICE).,[Italian]
FACHTNA,m,"means ""hostile"" in Irish Gaelic. He was the husband of Neasa in Irish legend. Some versions of the legends also have him as the father of Conchobhar.","[Irish, Irish Mythology]"
FADDEY,m,form of THADDEUS.,[Russian]
FADIA,f,Feminine form of FADI.,[Arabic]
FADILA,f,Feminine form of FADIL.,[Arabic]
FADL,m,"Means ""grace, generosity"" in Arabic. This was a name of both a cousin of Muhammad and a son of Abbas (the son of the fourth caliph Ali).",[Arabic]
FÁELÁN,m,form of FAOLÁN.,[Ancient Irish]
FAHIM,m,"Means ""intelligent, scholar"" in Arabic.",[Arabic]
FAHMIDA,f,feminine form of FAHIM.,[Urdu]
FAHRİYE,f,feminine form of FAKHRI.,[Turkish]
FAIGEL,f,"Derived from Yiddish פֵֿײגֶל (feigel) meaning ""bird"".",[Yiddish]
FAIRUZ,f,FAIRUZ   f   ArabicVariant transcription of FAYRUZ.,[Arabic]
FAITH,f,"from the English word faith, ultimately from Latin fidere ""to trust"". This was one of the virtue names adopted by the Puritans in the 17th century.",[English]
FAIVISH,m,form of PHOEBUS.,[Yiddish]
FAIZA,f,Feminine form of FAIZ.,[Arabic]
FAJR,f,"Means ""dawn, beginning"" in Arabic.",[Arabic]
FAKHRI,m,"Means ""honourary"" in Arabic.",[Arabic]
FALK,m,"Means ""falcon"" in German.",[German]
FANCY,f,"From the English word fancy which means either ""like, love, inclination"" or ""ornamental"". It is derived from Middle English fantasie, which comes (via Norman French and Latin) from Greek φαινω (phaino) ""to show, to appear"".",[English (Rare)]
FANG,f,"From Chinese 芳 (fāng) meaning ""fragrant, virtuous, beautiful"" or other characters with a similar pronunciation.",[Chinese]
FANNI,f,"FANNI   f   Finnish, HungarianFinnish diminutive of FRANCISCA and a Hungarian diminutive of FRANCISKA or STEFÁNIA.","[Finnish, Hungarian]"
FANNY,f,"FANNY   f   English, French, SpanishDiminutive of FRANCES, FRANÇOISE or STÉPHANIE. In the English-speaking world this has been a vulgar slang word since the late 19th century, and the name has subsequently dropped out of common use.","[English, French, Spanish]"
